customer_id,credit_limit,sex,education,marital_status,age,payment_status_sep,payment_status_aug,payment_status_jul,payment_status_jun,payment_status_may,payment_status_apr,bill_amount_sep,bill_amount_aug,bill_amount_jul,bill_amount_jun,bill_amount_may,bill_amount_apr,payment_amount_sep,payment_amount_aug,payment_amount_jul,payment_amount_jun,payment_amount_may,payment_amount_apr,default_next_month,delay_months_apr,delay_months_may,delay_months_jun,delay_months_jul,delay_months_aug,delay_months_sep,credit_utilization_apr,credit_utilization_may,credit_utilization_jun,credit_utilization_jul,credit_utilization_aug,credit_utilization_sep,avg_credit_utilization_6m,early_utilization_avg,recent_utilization_avg,utilization_change,months_with_delay,maximum_delay_months,early_delay_avg,recent_delay_avg,delay_change,no_payment_with_bill_apr,no_payment_with_bill_may,no_payment_with_bill_jun,no_payment_with_bill_jul,no_payment_with_bill_aug,no_payment_with_bill_sep,months_no_payment_with_bill,default_flag,utilization_band,utilization_trend,delay_group,utilization_per_10pct,risk_segment,recommended_action
1,20000,female,university,married,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,default,0,0,0,0,2,2,0.0,0.0,0.0,3.44,15.51,19.56,6.42,0.0,12.84,12.84,2,2,0.0,1.33,1.33,0,0,0,1,0,1,2,1,Low (0-30%),Increasing,2 Months,0.642,High Risk,Contact customer and review before increasing credit
2,120000,female,university,single,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,default,2,0,0,0,2,0,2.72,2.88,2.73,2.24,1.44,2.24,2.38,2.78,1.97,-0.81,2,2,0.67,0.67,0.0,0,1,0,0,0,1,2,1,Low (0-30%),Stable,2 Months,0.238,High Risk,Contact customer and review before increasing credit
3,90000,female,university,single,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,No default,0,0,0,0,0,0,17.28,16.61,15.92,15.07,15.59,32.49,18.83,16.6,21.05,4.45,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Low (0-30%),Stable,No Delay,1.8829999999999998,Low Risk,Continue normal service and routine monitoring
4,50000,female,university,married,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,No default,0,0,0,0,0,0,59.09,57.92,56.63,98.58,96.47,93.98,77.11,57.88,96.34,38.46,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Increasing,No Delay,7.711,Watchlist,Monitor closely and send early payment reminders
5,50000,male,university,married,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,No default,0,0,0,0,0,0,38.26,38.29,41.88,71.67,11.34,17.23,36.44,39.48,33.41,-6.07,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Moderate (30-60%),Stable,No Delay,3.6439999999999997,Low Risk,Continue normal service and routine monitoring
6,50000,male,graduate_school,single,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,No default,0,0,0,0,0,0,40.05,39.24,38.79,115.22,114.14,128.8,79.37,39.36,119.39,80.03,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Increasing,No Delay,7.937,Watchlist,Monitor closely and send early payment reminders
7,500000,male,graduate_school,single,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,No default,0,0,0,0,0,0,94.79,96.6,108.53,89.0,82.4,73.59,90.82,99.97,81.66,-18.31,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,High (60-100%),Decreasing,No Delay,9.081999999999999,Watchlist,Monitor closely and send early payment reminders
8,100000,female,university,single,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,No default,0,0,0,0,0,0,0.57,0.0,0.22,0.6,0.38,11.88,2.28,0.26,4.29,4.03,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,Low (0-30%),Stable,No Delay,0.22799999999999998,Low Risk,Continue normal service and routine monitoring
9,140000,female,high_school,married,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,No default,0,0,0,2,0,0,2.66,8.42,8.72,8.65,10.07,8.06,7.76,6.6,8.93,2.33,1,2,0.0,0.67,0.67,0,0,0,0,1,0,1,0,Low (0-30%),Stable,2 Months,0.776,High Risk,Contact customer and review before increasing credit
10,20000,male,high_school,single,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,No default,0,0,0,0,0,0,69.56,65.04,0.0,0.0,0.0,0.0,22.43,44.87,0.0,-44.87,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,Low (0-30%),Decreasing,No Delay,2.243,Low Risk,Continue normal service and routine monitoring
